age,agbd,system:index
7,79.33333587646484,3
12,114.0,9
26,108.0,10
2,24.66666603088379,37
13,254.0,43
15,175.11111450195312,45
7,240.0,51
3,7.0,61
22,64.33333587646484,65
18,132.0,77
17,274.0,97
27,208.6666717529297,109
21,184.0,126
2,208.0,131
4,113.0,132
22,125.0,134
17,223.0,146
3,222.0,152
13,79.0,163
17,167.0,166
2,20.66666603088379,168
5,87.0,172
4,160.0,177
15,256.0,190
21,184.6666717529297,195
2,41.0,207
6,190.0,212
7,253.0,215
18,234.0,216
7,7.666666507720947,221
1,33.33333206176758,225
2,134.0,232
2,244.0,242
21,231.0,246
10,75.0,248
8,134.0,251
2,185.0,254
2,163.3333282470703,257
5,24.66666603088379,259
5,127.0,263
26,106.66666412353516,271
17,75.66666412353516,272
2,81.0,273
2,183.0,280
2,66.0,297
27,205.0,301
4,138.3333282470703,311
3,145.0,321
6,160.3333282470703,333
1,166.3333282470703,335
1,29.33333396911621,380
1,105.0,396
3,137.6666717529297,399
13,189.0,403
2,35.33333206176758,407
2,101.0,409
14,83.0,430
27,202.6666717529297,442
20,190.0,443
7,253.0,445
12,39.0,449
5,118.0,455
7,84.0,459
2,77.0,472
3,69.0,473
20,106.33333587646484,513
8,124.33333587646484,515
15,122.0,527
21,216.0,537
1,184.0,544
25,187.3333282470703,548
8,103.0,566
16,198.0,573
4,73.0,579
2,124.0,594
27,213.0,604
21,174.0,618
21,226.6666717529297,621
2,13.0,623
11,99.0,638
9,152.0,646
2,3.3333332538604736,654
26,265.0,691
27,140.0,700
15,222.3333282470703,709
2,48.0,711
16,22.0,712
1,149.0,746
31,144.6666717529297,751
6,91.0,773
2,73.0,778
3,68.0,786
2,191.0,790
3,46.0,795
7,163.0,802
4,128.0,803
35,104.0,823
5,53.0,830
23,142.3333282470703,838
26,150.0,840
19,202.0,841
12,267.0,849
3,222.0,858
19,192.6666717529297,872
6,73.33333587646484,873
5,43.33333206176758,887
5,57.0,891
5,93.0,892
15,93.0,898
3,39.0,900
5,86.0,909
2,83.0,917
15,93.0,935
5,162.0,947
16,32.66666793823242,948
19,224.0,952
5,40.0,954
2,101.0,955
7,95.66666412353516,958
3,70.0,964
2,37.0,971
17,88.0,980
4,155.6666717529297,986
16,66.0,987
5,84.0,995
2,81.0,998
7,164.0,999
8,173.0,1000
10,190.0,1002
29,162.6666717529297,1004
1,145.3333282470703,1010
4,81.0,1014
13,6.333333492279053,1020
15,114.0,1042
12,216.3333282470703,1047
3,16.0,1051
13,243.0,1057
15,46.66666793823242,1065
14,277.0,1066
11,100.33333587646484,1067
8,38.33333206176758,1083
3,124.0,1085
24,108.0,1086
4,70.0,1093
32,70.0,1096
2,141.0,1097
1,124.0,1102
4,109.0,1106
12,137.3333282470703,1107
3,31.0,1115
24,176.6666717529297,1119
6,68.0,1129
18,112.0,1132
23,89.0,1133
21,121.0,1146
5,143.0,1148
13,149.0,1153
25,139.0,1165
14,128.0,1171
4,198.0,1173
20,29.0,1174
6,197.0,1180
12,50.33333206176758,1186
7,100.0,1191
23,136.6666717529297,1199
11,43.66666793823242,1211
2,202.0,1215
1,135.0,1216
16,32.0,1227
7,22.0,1236
7,20.22222137451172,1241
14,98.0,1247
7,133.0,1256
2,52.0,1258
4,179.0,1260
1,199.0,1262
32,96.0,1264
20,203.0,1277
2,52.0,1282
4,27.66666603088379,1299
16,150.6666717529297,1302
15,180.0,1304
30,213.6666717529297,1306
5,16.0,1310
7,181.0,1355
2,160.0,1367
3,56.0,1382
4,78.44444274902344,1385
2,145.0,1391
35,40.0,1394
26,87.0,1398
20,117.0,1411
19,155.0,1412
18,198.3333282470703,1424
7,204.3333282470703,1434
2,228.0,1436
3,5.0,1440
23,103.0,1448
20,144.0,1449
21,153.0,1458
3,14.0,1466
32,108.33333587646484,1471
10,203.0,1475
11,29.33333396911621,1484
13,143.0,1489
2,32.66666793823242,1494
6,51.0,1497
21,190.0,1521
3,53.0,1526
1,162.0,1530
4,79.0,1532
21,96.33333587646484,1555
2,14.0,1569
5,103.0,1575
4,76.0,1585
1,153.0,1586
4,32.0,1598
21,28.0,1603
5,95.88888549804688,1624
5,215.3333282470703,1625
6,231.0,1631
18,78.0,1632
30,162.0,1633
24,200.11111450195312,1635
1,92.88888549804688,1636
3,184.0,1650
24,133.0,1661
24,200.3333282470703,1669
4,71.0,1672
21,196.6666717529297,1674
10,91.0,1680
5,92.0,1682
4,207.0,1685
21,115.0,1696
6,29.0,1699
3,55.0,1707
1,57.0,1722
20,36.0,1730
6,167.6666717529297,1731
8,199.0,1739
6,82.33333587646484,1751
7,236.0,1757
19,71.77777862548828,1758
2,41.33333206176758,1770
7,255.3333282470703,1773
8,168.0,1775
6,122.0,1778
2,166.0,1780
15,172.3333282470703,1788
17,141.0,1798
17,116.0,1801
6,48.0,1802
6,248.0,1805
30,187.3333282470703,1812
24,107.0,1814
1,107.0,1815
21,143.0,1823
5,43.66666793823242,1832
14,194.6666717529297,1834
20,110.33333587646484,1839
6,122.0,1847
4,106.0,1857
14,96.0,1872
26,209.0,1879
8,121.0,1888
9,171.6666717529297,1890
8,118.0,1893
5,97.66666412353516,1894
4,29.33333396911621,1898
7,100.0,1899
2,151.3333282470703,1905
30,129.3333282470703,1916
15,157.0,1926
2,2.0,1933
6,7.333333492279053,1947
5,30.66666603088379,1951
21,83.33333587646484,1956
6,150.0,1970
9,23.0,1981
14,53.0,1983
2,25.0,1985
30,115.0,1995
32,84.0,2001
11,48.0,2008
5,175.0,2011
12,152.6666717529297,2032
6,16.0,2040
30,160.6666717529297,2057
16,125.0,2062
35,58.0,2071
5,79.0,2075
26,190.0,2081
3,35.0,2082
1,76.0,2087
5,123.0,2099
6,24.0,2101
1,167.6666717529297,2107
5,39.0,2116
14,31.33333396911621,2125
26,150.6666717529297,2128
23,72.0,2131
8,135.0,2137
2,91.66666412353516,2140
2,95.0,2142
1,64.0,2155
8,187.0,2158
4,228.0,2170
4,64.0,2174
4,150.0,2179
8,189.6666717529297,2181
5,188.3333282470703,2185
3,104.0,2190
6,61.0,2201
6,14.0,2207
25,43.33333206176758,2209
1,21.0,2216
27,64.0,2224
2,41.66666793823242,2237
3,101.66666412353516,2239
27,186.0,2242
3,47.0,2246
7,84.0,2254
5,79.33333587646484,2255
6,20.0,2265
1,40.0,2280
23,136.0,2283
3,178.0,2288
13,179.0,2292
4,103.0,2303
17,165.0,2316
6,94.0,2317
7,132.0,2318
7,138.3333282470703,2319
18,128.6666717529297,2366
8,202.0,2371
1,27.0,2379
14,154.3333282470703,2386
21,227.0,2390
22,204.6666717529297,2395
4,234.6666717529297,2400
2,139.6666717529297,2405
22,128.0,2412
3,27.0,2429
6,8.0,2446
5,101.0,2467
7,68.0,2470
4,178.0,2473
22,142.3333282470703,2474
6,188.0,2488
8,55.0,2492
6,43.0,2506
35,138.0,2511
16,236.0,2516
11,173.0,2531
2,57.0,2538
4,55.33333206176758,2553
30,188.0,2571
7,197.0,2574
4,166.6666717529297,2578
11,191.0,2581
5,60.0,2585
18,74.0,2586
1,39.0,2593
3,145.0,2594
1,93.0,2595
28,173.3333282470703,2605
2,43.0,2608
11,161.0,2609
4,131.0,2623
1,223.0,2627
4,192.3333282470703,2628
2,148.0,2631
24,68.0,2633
24,72.33333587646484,2634
20,161.0,2643
21,38.0,2647
20,113.33333587646484,2658
16,176.0,2672
5,91.0,2674
14,143.0,2677
16,49.0,2685
4,2.0,2687
1,21.0,2703
18,137.0,2721
17,219.0,2723
3,218.0,2724
2,41.66666793823242,2728
20,212.0,2729
7,86.0,2733
30,200.6666717529297,2734
2,41.0,2741
6,128.0,2758
18,133.0,2761
3,161.3333282470703,2768
11,117.0,2773
18,97.0,2774
1,83.0,2775
27,178.0,2779
2,42.0,2780
4,52.0,2781
4,51.0,2785
3,67.0,2809
2,59.0,2817
21,96.33333587646484,2820
11,186.0,2821
2,112.0,2823
2,50.0,2831
20,208.0,2841
24,113.0,2866
7,27.0,2870
6,143.0,2896
5,16.0,2907
2,32.66666793823242,2919
18,130.0,2921
8,68.0,2922
5,141.0,2927
7,64.0,2937
30,165.3333282470703,2947
5,58.66666793823242,2955
2,183.0,2956
34,164.0,2964
13,225.3333282470703,2966
4,11.666666984558105,2972
11,183.0,2975
3,173.0,2986
14,66.66666412353516,3007
6,191.0,3024
2,5.0,3026
26,146.0,3042
23,143.0,3047
14,87.66666412353516,3056
11,148.0,3063
22,137.0,3067
2,35.66666793823242,3074
9,148.6666717529297,3077
13,247.0,3086
7,242.0,3090
5,87.0,3092
1,41.66666793823242,3094
27,183.6666717529297,3097
3,32.22222137451172,3101
1,186.0,3104
26,88.0,3108
7,218.0,3115
6,69.0,3124
4,123.0,3128
11,155.0,3133
10,207.6666717529297,3137
28,185.0,3139
13,113.66666412353516,3143
1,85.0,3168
9,193.0,3181
5,140.0,3188
21,164.3333282470703,3195
10,160.0,3201
25,218.0,3210
1,73.0,3219
5,265.0,3221
2,267.6666564941406,3231
7,157.0,3237
2,114.0,3242
7,106.33333587646484,3244
6,18.0,3250
2,17.0,3257
1,204.0,3260
7,196.6666717529297,3274
1,61.0,3279
17,81.0,3282
7,29.66666603088379,3291
2,55.0,3294
3,52.0,3305
2,165.0,3307
11,22.0,3310
2,120.0,3319
1,91.0,3327
23,106.0,3333
14,201.0,3339
7,208.0,3342
4,39.0,3350
21,175.0,3354
23,195.0,3358
2,127.0,3362
20,147.0,3369
7,159.0,3395
15,78.33333587646484,3406
9,11.333333015441895,3407
2,1.0,3416
7,207.0,3425
2,53.66666793823242,3445
4,107.33333587646484,3474
3,203.0,3480
3,65.66666412353516,3482
2,64.0,3497
6,143.0,3502
30,229.0,3504
17,120.0,3537
5,102.0,3559
6,40.0,3561
18,110.0,3570
2,137.0,3572
7,221.0,3573
1,2.0,3592
3,85.66666412353516,3602
3,79.0,3603
2,100.0,3604
6,127.33333587646484,3608
4,115.0,3624
14,172.0,3625
12,32.66666793823242,3630
19,85.0,3636
5,50.0,3644
9,214.0,3647
13,62.0,3648
16,170.0,3652
5,159.0,3661
5,129.0,3683
21,209.0,3687
24,29.33333396911621,3690
5,24.0,3694
11,127.0,3716
5,17.0,3718
1,171.3333282470703,3721
6,182.0,3736
27,61.0,3745
4,17.33333396911621,3746
18,226.0,3747
11,104.0,3748
12,207.0,3749
2,63.0,3751
32,121.0,3761
1,182.0,3762
19,215.0,3764
5,134.0,3766
4,90.0,3779
8,173.0,3785
13,249.0,3788
2,123.0,3810
8,194.0,3811
4,106.0,3823
9,215.0,3832
27,118.0,3833
4,84.0,3837
2,152.0,3841
2,59.33333206176758,3844
4,185.0,3852
21,193.0,3883
9,48.33333206176758,3886
13,159.6666717529297,3904
28,149.0,3926
19,140.0,3934
2,24.0,3935
3,100.0,3941
6,152.6666717529297,3945
5,76.33333587646484,3950
18,152.0,3953
3,218.0,3957
18,115.0,3964
31,110.33333587646484,3974
9,107.0,3975
15,171.0,3982
5,89.0,4013
11,91.0,4020
3,194.0,4024
11,235.0,4042
3,169.0,4048
3,60.33333206176758,4054
7,177.0,4056
4,247.0,4068
7,42.33333206176758,4069
6,215.0,4083
6,172.0,4088
11,148.3333282470703,4096
7,219.0,4101
6,45.0,4117
21,81.0,4127
6,227.0,4139
5,118.0,4140
18,74.0,4142
1,74.0,4147
19,168.0,4158
6,201.0,4164
5,119.0,4177
4,63.55555725097656,4184
4,101.0,4185
28,114.0,4188
5,104.0,4192
16,34.66666793823242,4203
2,40.0,4210
3,31.0,4222
2,61.0,4224
7,185.6666717529297,4233
20,72.0,4235
26,186.0,4236
7,38.0,4237
2,185.0,4238
21,133.0,4246
1,54.0,4250
2,161.3333282470703,4257
26,105.0,4267
10,135.0,4270
8,191.0,4311
7,180.0,4313
13,41.0,4319
14,135.55555725097656,4329
20,13.0,4335
8,168.0,4352
11,167.0,4355
5,62.0,4367
17,189.88888549804688,4379
26,108.0,4386
7,187.0,4388
3,41.0,4392
4,95.0,4396
2,8.0,4401
1,97.33333587646484,4407
16,109.0,4414
19,97.0,4440
7,28.0,4443
19,123.0,4450
7,201.3333282470703,4462
17,133.3333282470703,4469
7,49.33333206176758,4472
12,55.0,4485
1,28.0,4486
25,61.33333206176758,4488
2,121.0,4497
30,77.33333587646484,4502
3,67.0,4514
30,203.0,4523
19,146.0,4534
8,234.0,4542
27,112.0,4548
5,36.33333206176758,4554
16,135.0,4555
18,154.0,4561
33,186.0,4584
2,4.0,4587
24,123.33333587646484,4589
5,65.33333587646484,4590
14,70.0,4591
11,149.0,4592
5,103.0,4594
7,59.0,4601
6,131.0,4611
10,179.0,4612
22,191.6666717529297,4621
17,86.0,4637
2,185.0,4645
6,43.0,4647
11,132.0,4657
6,109.0,4674
7,38.0,4678
21,173.0,4679
2,114.0,4693
4,207.0,4715
6,64.0,4719
21,201.0,4724
1,195.0,4728
10,20.66666603088379,4734
14,21.0,4737
1,127.0,4748
2,42.0,4751
3,7.666666507720947,4767
15,164.0,4774
2,49.0,4780
6,141.0,4785
1,149.0,4786
19,180.0,4791
6,68.0,4799
11,74.0,4802
23,47.0,4814
8,217.0,4849
1,124.0,4860
1,153.3333282470703,4862
3,117.0,4866
10,65.0,4872
6,23.0,4873
5,211.0,4875
1,99.0,4876
6,41.0,4892
16,61.0,4916
4,92.0,4919
3,80.33333587646484,4923
1,159.0,4935
7,62.33333206176758,4944
8,10.666666984558105,4959
9,179.6666717529297,4978
27,228.0,4993
7,113.0,5001
19,101.0,5009
7,60.0,5021
5,51.0,5023
29,224.0,5030
14,199.6666717529297,5035
7,49.11111068725586,5052
6,168.6666717529297,5056
1,162.77777099609375,5058
12,125.33333587646484,5070
1,49.0,5077
8,192.0,5085
8,61.0,5090
7,31.0,5099
17,24.0,5104
3,103.0,5124
10,141.0,5134
7,22.33333396911621,5142
5,148.0,5144
1,110.55555725097656,5146
9,212.0,5152
3,134.0,5156
21,131.0,5161
7,148.0,5169
2,73.33333587646484,5174
16,152.0,5179
4,269.0,5183
5,98.0,5184
1,203.0,5189
11,58.0,5200
26,181.0,5201
21,175.0,5203
3,30.66666603088379,5204
5,97.0,5210
3,3.0,5216
25,193.6666717529297,5221
13,63.0,5222
1,8.333333015441895,5223
3,47.33333206176758,5224
1,144.6666717529297,5225
10,105.33333587646484,5233
28,247.0,5246
5,179.0,5252
7,183.0,5279
14,93.33333587646484,5291
11,32.0,5298
7,180.0,5327
6,127.0,5361
1,98.33333587646484,5371
21,156.0,5383
7,71.0,5386
1,97.0,5388
15,114.0,5391
6,117.33333587646484,5394
6,67.0,5397
21,203.0,5407
5,50.0,5421
11,102.0,5423
3,106.0,5428
25,233.0,5438
8,246.0,5448
17,92.0,5466
3,170.0,5473
31,159.6666717529297,5475
11,59.0,5477
6,71.33333587646484,5484
5,160.0,5486
22,30.0,5490
2,122.0,5495
21,230.0,5502
7,6.333333492279053,5505
1,59.66666793823242,5513
3,48.0,5521
5,73.66666412353516,5526
16,78.66666412353516,5530
6,59.0,5532
5,149.0,5533
1,27.0,5546
4,51.0,5547
6,139.0,5550
30,117.0,5572
2,109.0,5580
14,277.0,5595
1,124.0,5596
26,147.0,5607
11,38.0,5619
2,10.0,5622
3,84.0,5628
7,97.66666412353516,5654
8,62.66666793823242,5657
20,128.0,5671
10,174.0,5676
19,178.0,5691
3,35.0,5696
30,203.0,5700
7,225.0,5704
33,176.0,5713
2,84.33333587646484,5718
4,272.0,5727
6,69.33333587646484,5736
3,4.0,5738
7,192.0,5744
2,120.33333587646484,5756
2,48.0,5770
21,140.6666717529297,5786
19,217.0,5790
2,29.0,5793
21,143.0,5800
7,107.0,5809
8,130.0,5811
21,130.3333282470703,5814
5,199.11111450195312,5823
2,87.0,5825
1,5.0,5831
24,149.22222900390625,5833
8,101.0,5840
21,212.3333282470703,5841
12,82.66666412353516,5858
23,33.0,5871
16,109.0,5879
4,132.3333282470703,5882
4,220.0,5886
2,54.33333206176758,5890
2,97.0,5900
8,138.0,5901
3,102.0,5905
8,192.0,5906
13,194.0,5911
4,172.0,5913
11,10.0,5919
7,165.0,5922
4,84.0,5927
14,222.0,5934
1,51.0,5937
3,104.0,5939
4,147.0,5945
4,44.0,5964
4,83.0,5967
17,253.3333282470703,5982
7,156.0,5987
5,167.3333282470703,5989
3,65.0,5994
12,175.0,6007
3,101.0,6015
28,144.0,6017
2,9.0,6018
9,124.0,6021
8,197.0,6022
1,125.0,6025
11,101.0,6045
30,164.0,6067
24,101.33333587646484,6069
7,151.0,6073
24,127.0,6074
8,182.0,6082
6,39.66666793823242,6084
12,46.0,6087
10,62.0,6091
16,55.0,6094
2,189.6666717529297,6116
13,186.0,6126
13,25.0,6137
13,37.0,6151
8,173.0,6152
6,131.0,6176
1,158.3333282470703,6185
1,26.0,6200
4,87.0,6209
4,173.44444274902344,6213
3,103.0,6224
2,216.0,6235
14,96.0,6238
5,31.0,6239
5,33.0,6248
18,218.3333282470703,6257
4,49.66666793823242,6263
10,150.3333282470703,6274
7,41.0,6276
6,61.0,6284
24,183.3333282470703,6291
21,133.0,6297
2,150.0,6302
5,5.666666507720947,6304
3,108.0,6306
2,180.0,6311
1,137.0,6313
2,16.0,6316
4,91.0,6323
2,77.0,6335
23,215.0,6354
4,115.0,6356
20,195.0,6361
6,149.6666717529297,6362
25,211.0,6364
11,33.0,6368
26,195.0,6372
2,68.0,6382
13,62.0,6395
7,55.66666793823242,6403
7,34.66666793823242,6405
1,40.0,6417
11,7.333333492279053,6418
20,199.0,6421
8,121.0,6424
14,188.6666717529297,6430
1,247.6666717529297,6446
3,16.66666603088379,6449
4,150.0,6459
7,193.0,6465
6,46.0,6467
17,154.0,6484
4,188.0,6492
2,47.0,6496
5,118.33333587646484,6503
2,133.0,6508
2,128.3333282470703,6509
30,49.0,6518
9,60.0,6519
9,156.0,6521
2,217.0,6525
3,146.6666717529297,6526
13,179.0,6532
6,109.0,6535
16,109.66666412353516,6536
12,137.0,6566
14,89.0,6576
13,191.0,6578
4,55.0,6581
18,123.0,6582
35,165.0,6589
6,302.0,6605
16,128.88888549804688,6618
6,190.0,6626
1,212.0,6632
1,197.6666717529297,6658
13,230.0,6661
27,185.0,6666
6,166.77777099609375,6677
11,158.0,6687
8,10.0,6693
15,48.0,6709
15,202.0,6712
17,145.0,6718
16,74.0,6722
8,35.33333206176758,6726
1,12.333333015441895,6731
1,95.0,6732
3,163.0,6738
10,122.0,6756
29,120.33333587646484,6760
5,7.0,6777
5,67.0,6783
14,145.0,6790
2,67.0,6792
5,89.66666412353516,6794
4,85.0,6795
11,126.0,6813
3,56.0,6814
2,192.0,6829
14,112.0,6831
5,79.0,6838
7,149.0,6839
32,210.0,6841
4,223.0,6847
5,66.0,6848
2,179.0,6853
3,168.0,6871
6,22.0,6879
2,76.0,6880
1,238.0,6881
4,105.0,6884
4,70.66666412353516,6890
1,186.0,6900
15,161.0,6923
6,83.0,6932
15,98.0,6942
6,56.33333206176758,6960
2,65.0,6962
15,33.0,6964
7,15.333333015441895,6966
7,29.0,6982
31,96.11111450195312,6994
3,129.6666717529297,7011
3,168.0,7015
24,54.0,7025
12,49.0,7029
2,113.0,7044
2,69.0,7055
9,58.0,7070
3,162.6666717529297,7089
2,7.333333492279053,7091
1,145.0,7112
13,176.0,7123
2,54.66666793823242,7136
10,116.0,7148
30,142.0,7151
3,83.33333587646484,7154
2,93.66666412353516,7155
8,109.66666412353516,7158
4,29.0,7164
4,85.0,7175
5,130.0,7186
6,63.0,7209
9,175.0,7215
4,93.0,7216
21,56.0,7225
5,33.66666793823242,7227
6,87.0,7229
9,34.0,7232
3,242.0,7254
26,102.0,7259
25,108.0,7265
3,258.0,7275
7,146.0,7276
3,127.66666412353516,7282
18,157.0,7287
13,145.0,7289
5,207.6666717529297,7292
3,109.0,7294
1,96.0,7309
1,199.0,7311
10,68.0,7312
4,88.0,7331
4,130.0,7341
13,196.0,7343
35,188.0,7349
27,130.0,7359
5,106.33333587646484,7360
20,272.3333435058594,7375
2,33.66666793823242,7376
13,101.0,7383
7,210.6666717529297,7386
30,46.66666793823242,7407
3,200.0,7413
7,227.6666717529297,7431
4,229.0,7433
12,105.0,7434
16,46.0,7439
7,245.0,7477
6,50.33333206176758,7486
13,271.0,7494
4,85.0,7506
20,221.0,7509
7,141.6666717529297,7510
4,42.0,7514
15,41.33333206176758,7515
5,68.0,7525
18,143.44444274902344,7527
27,217.0,7534
2,15.0,7553
31,151.6666717529297,7557
18,37.0,7558
5,21.0,7570
7,148.0,7578
12,239.0,7581
1,148.6666717529297,7585
23,258.0,7601
14,237.0,7602
5,143.3333282470703,7607
14,51.0,7610
1,187.0,7611
2,140.0,7618
11,120.0,7622
2,141.0,7634
7,65.33333587646484,7644
21,38.66666793823242,7655
1,137.0,7658
1,115.55555725097656,7664
7,142.0,7677
11,73.0,7684
18,166.0,7695
16,112.66666412353516,7702
5,175.0,7707
2,100.0,7726
26,124.66666412353516,7731
5,189.3333282470703,7738
16,80.0,7749
21,51.0,7758
20,72.33333587646484,7764
7,143.0,7782
31,62.66666793823242,7783
6,216.0,7784
3,116.0,7787
3,32.0,7795
8,133.0,7796
14,140.0,7817
10,287.0,7831
7,118.0,7834
11,102.0,7837
12,87.0,7844
27,54.0,7863
15,81.33333587646484,7870
10,102.0,7892
2,142.0,7896
3,108.0,7898
8,18.0,7901
3,97.66666412353516,7921
2,266.0,7930
5,108.0,7938
15,72.0,7939
7,121.66666412353516,7940
5,121.0,7950
20,157.0,7953
5,74.0,7961
7,144.3333282470703,7976
8,203.3333282470703,7978
23,131.6666717529297,7983
4,137.0,7991
2,77.0,7995
5,228.0,8002
4,201.0,8006
8,175.0,8008
5,58.0,8014
1,9.0,8016
13,223.0,8023
6,51.0,8027
16,129.0,8045
3,257.0,8046
24,243.0,8048
2,191.0,8058
2,35.0,8061
19,99.33333587646484,8062
34,91.0,8063
29,196.0,8068
15,163.0,8071
27,141.6666717529297,8077
7,159.0,8088
23,114.66666412353516,8093
16,87.0,8110
16,158.0,8113
1,79.0,8120
7,277.0,8121
2,156.0,8128
7,92.0,8130
4,21.0,8132
1,194.0,8135
10,6.0,8137
5,78.0,8139
6,90.33333587646484,8141
5,72.0,8147
30,217.0,8156
3,97.0,8164
1,76.0,8169
5,150.0,8183
35,216.0,8196
21,196.0,8198
7,129.0,8210
21,54.0,8214
18,72.66666412353516,8215
13,149.6666717529297,8220
18,75.0,8222
8,103.66666412353516,8223
26,191.0,8227
7,147.6666717529297,8242
5,3.0,8243
30,250.0,8307
13,142.0,8327
4,47.0,8334
5,93.0,8336
2,31.0,8339
5,218.0,8340
11,121.0,8343
12,136.0,8344
8,192.3333282470703,8348
6,139.3333282470703,8349
4,120.0,8372
21,151.0,8375
13,175.0,8398
27,132.3333282470703,8402
5,197.0,8404
1,87.66666412353516,8411
1,5.0,8416
17,89.0,8419
14,41.33333206176758,8423
5,147.0,8424
5,137.0,8432
1,207.0,8439
1,104.0,8452
2,147.0,8461
34,134.6666717529297,8471
27,91.0,8486
4,214.0,8489
4,33.33333206176758,8503
6,258.1111145019531,8518
30,211.0,8522
22,91.33333587646484,8531
4,62.0,8544
2,102.0,8545
21,131.3333282470703,8563
2,46.66666793823242,8570
1,1.3333333730697632,8575
21,134.3333282470703,8584
20,142.6666717529297,8585
5,139.3333282470703,8600
8,215.0,8610
13,214.0,8613
4,187.6666717529297,8614
9,151.0,8617
9,55.33333206176758,8621
13,205.0,8637
7,78.0,8643
1,65.0,8651
24,43.0,8656
30,230.0,8687
1,225.0,8705
4,55.66666793823242,8713
2,24.66666603088379,8716
25,70.66666412353516,8729
6,113.0,8737
13,60.33333206176758,8751
5,151.0,8752
17,65.0,8767
9,18.33333396911621,8783
32,95.66666412353516,8785
18,139.0,8786
16,122.0,8790
18,169.0,8802
34,148.0,8811
2,92.0,8812
11,62.0,8822
3,104.0,8826
16,239.3333282470703,8843
5,77.0,8846
3,160.6666717529297,8848
4,218.0,8849
3,32.33333206176758,8855
9,113.0,8877
3,15.88888931274414,8885
3,106.0,8888
4,198.0,8891
3,91.66666412353516,8892
14,104.33333587646484,8908
9,190.0,8916
17,127.0,8936
6,23.0,8954
6,165.0,8958
11,149.6666717529297,8962
3,177.6666717529297,8967
4,123.0,8983
8,17.0,9003
7,36.66666793823242,9016
2,48.0,9032
25,211.0,9033
6,144.0,9034
9,58.0,9038
5,113.0,9041
5,24.66666603088379,9055
6,60.44444274902344,9065
2,103.0,9066
11,255.3333282470703,9067
8,192.3333282470703,9075
22,171.3333282470703,9078
16,170.0,9084
2,80.33333587646484,9091
27,217.0,9094
4,69.0,9096
17,123.0,9100
4,111.0,9108
6,139.0,9110
15,151.0,9120
7,229.0,9131
1,134.0,9141
7,23.0,9149
4,91.0,9154
15,170.3333282470703,9160
5,99.0,9179
2,191.0,9181
4,118.0,9188
16,214.0,9192
6,155.0,9197
11,208.0,9212
3,90.0,9213
34,150.0,9218
4,165.0,9233
16,5.0,9238
4,47.22222137451172,9257
5,27.0,9265
21,115.0,9288
6,204.0,9307
1,130.0,9312
7,95.0,9314
29,99.0,9349
15,98.0,9357
9,35.33333206176758,9359
5,181.3333282470703,9364
6,62.66666793823242,9367
16,85.0,9383
14,209.0,9390
18,160.0,9403
7,177.0,9406
2,107.0,9443
12,139.0,9469
1,5.0,9474
21,199.6666717529297,9483
3,72.0,9485
9,73.33333587646484,9489
18,111.0,9490
20,221.0,9501
30,171.6666717529297,9502
2,13.0,9510
32,31.0,9511
21,144.0,9512
11,78.33333587646484,9515
14,130.0,9520
2,39.0,9525
8,120.33333587646484,9535
13,233.0,9539
1,219.3333282470703,9545
5,113.11111450195312,9546
18,178.0,9549
4,223.0,9552
16,123.0,9560
2,248.6666717529297,9561
2,173.0,9565
2,57.0,9567
11,96.0,9571
3,177.0,9575
11,75.0,9581
2,92.0,9592
5,291.0,9606
19,238.0,9616
14,49.66666793823242,9619
6,158.0,9621
3,273.0,9633
5,42.0,9639
6,48.66666793823242,9645
6,16.0,9646
5,120.33333587646484,9676
9,290.0,9682
11,168.3333282470703,9687
5,96.66666412353516,9689
15,106.0,9691
3,21.0,9698
2,116.0,9701
10,123.66666412353516,9709
1,49.0,9713
6,202.0,9715
17,126.0,9719
8,6.666666507720947,9726
10,75.0,9739
21,72.0,9743
5,119.0,9749
9,45.0,9751
2,85.0,9754
14,242.0,9756
1,82.66666412353516,9759
16,22.0,9771
7,242.0,9773
1,200.0,9786
15,93.0,9793
14,162.6666717529297,9799
2,67.0,9803
5,220.0,9809
2,215.0,9822
12,34.0,9825
3,206.0,9842
17,251.0,9849
18,158.0,9856
5,131.0,9863
2,124.0,9864
5,156.0,9879
6,246.0,9886
16,210.0,9891
9,92.0,9892
10,178.44444274902344,9908
3,107.0,9915
29,139.0,9926
19,90.0,9928
19,134.0,9954
1,27.0,9961
16,180.0,9966
2,80.0,9967
3,206.0,9971
5,59.0,9976
2,84.0,9986
5,119.66666412353516,9988
2,183.0,9990
26,158.0,9992
